name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Hotel,Bar,Food,Attraction,Shopping,McDonald's,Albert Heijn,Closed,Area,Picture Spot
Mellow Yellow,52.36104065,4.891463474,https://en.wikipedia.org/wiki/Mellow_Yellow_(coffeeshop),,Mellow_Yellow.jpg,n,,n,n,n,n,y,n,n,n,n,n,n
Miffy Shop,52.36299,4.88831,https://www.dewinkelvannijntje.nl/en/,,,n,,n,n,n,n,n,y,n,n,n,n,n
Misc Store,52.36941,4.8803,https://misc-store.com,,,n,,n,n,n,n,n,y,n,n,n,n,n
Moco Museum,52.3588,4.88213,https://www.mocomuseum.com/amsterdam/?bg_source=ga&bg_campaign=10280506756&bg_kw=kwd-318545806002-mi--pi--ppi-&bg_source_id=681555419973&gad_source=1&gad_campaignid=10280506756&gbraid=0AAAAADcgcgnmCi6ohH8GOM1COE2N5wdYm&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CGqSgmPBg5I5-LgapA-qw_gH4X4gp9isfnDTRKDveXD9k1ln6s6nn4aAq8YEALw_wcB,,,n,,n,n,n,n,y,n,n,n,n,n,n
Moleskine Store,52.37033,4.89148,http://www.moleskine.com/,,,n,,n,n,n,n,n,y,n,n,n,n,n
Montelbaanstoren,52.37203443,4.905577234,https://en.wikipedia.org/wiki/Montelbaanstoren,,,n,,n,n,n,n,y,n,n,n,n,n,n
Mouse Mansion,52.36714239,4.892764263,https://www.themousemansion.com/pages/visit-the-mouse-mansion?srsltid=AfmBOop6KI2f3Z-D0kv0yF11CCsxYHC1GsNGIBAtXTvE1C2JJmcfqp0c,,,n,,n,n,n,n,y,n,n,n,n,n,n
Munttoren,52.36703498,4.893298953,https://en.wikipedia.org/wiki/Munttoren,,,n,,n,n,n,n,y,n,n,n,n,n,n
National Maritime Museum,52.37139502,4.915102764,https://www.hetscheepvaartmuseum.com,,,n,,n,n,n,n,y,n,n,n,n,n,n
Nicolassbasiliek,52.37667,4.90083,"https://en.wikipedia.org/wiki/Basilica_of_Saint_Nicholas,_Amsterdam",,,n,,n,n,n,n,y,n,n,n,n,n,n
Nieuwe Kerk,52.37374,4.89097,https://www.nieuwekerk.nl,,,n,,n,n,n,n,y,n,n,n,n,n,n
