shop_id,name,lat,lng,city,city_slug,province,address,postcode,website,shop_key,logo,visited,rating,status
cs-watersnip,Juice Bar de Watersnip,52.37713679,4.816272572,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-watersnip.html,cs-watersnip,juice_bar_de_watersnip.png,n,,open
cs-kadinsky,Kadinski,52.37038,4.88942,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-kadinsky.html,cs-kadinsky,kadinsky.png,y,3,open
cs-kadinsky2,Kadinski 2,52.37422,4.89347,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-kadinsky2.html,cs-kadinsky2,kadinsky_2.png,y,4,open
cs-kadinsky3,Kadinski 3,52.36932,4.893,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-kadinsky3.html,cs-kadinsky3,kadinsky_3.png,n,,open
cs-kashmir-coffeeshop,Kashmir,52.36408,4.86301,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-kashmir-coffeeshop.html,cs-kashmir-coffeeshop,kashmir_coffeeshop.png,y,2,open
cs-katsu,Katsu,52.35491,4.89339,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-katsu.html,cs-katsu,katsu.png,n,,open
cs-tertulia,La Tertulia,52.36953,4.88237,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-tertulia.html,cs-tertulia,la_tertulia.png,n,,open
cs-loft,Loft,52.37273477,4.8494308,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-loft.html,cs-loft,loft.png,n,,open
cs-massawa,Massawa,52.36754915,4.861899338,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-massawa.html,cs-massawa,massawa.png,n,,open
cs-mediterrane,Mediterrane,52.37556,4.89167,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-mediterrane.html,cs-mediterrane,mediterrane_drewissharing.png,y,4,open
