name,city,address,shop_url,show_in_admin
Happy People,Amsterdam,"Happy People, Dapperstraat 2, 1093 BT Amsterdam",https://www.coffeeshopmenus.org/cs-happy-people.html,1
Hashtag,Amsterdam,"Hashtag, Reguliersgracht 27, Amsterdam 1017 LK",https://www.coffeeshopmenus.org/cs-hashtag.html,1
The Hit,Amsterdam,"The Hit, Rusland 16, Amsterdam 1012 CL",https://www.coffeeshopmenus.org/cs-hit2.html,1
Hunter's Downtown,Amsterdam,"Hunter's Downtown, Utrechtsestraat 14, Amsterdam 1017 VN",https://www.coffeeshopmenus.org/cs-huntersdowntown.html,1
Hunter's West,Amsterdam,"Hunter's West, Orteliusstraat 193, Amsterdam 1056 NP",https://www.coffeeshopmenus.org/cs-hunters-mercator.html,1
Hunter's North - Papaverweg,Amsterdam,"Hunter's North - Papaverweg, Papaverweg 2, Amsterdam 1032 KH",https://www.coffeeshopmenus.org/cs-huntersnorthpapaverweg.html,1
Hunter's North - Waterlandplein,Amsterdam,"Hunter's North - Waterlandplein, Waterlandplein 7, Amsterdam 1024 LL",https://www.coffeeshopmenus.org/cs-huntersnorthwaterlandplein.html,1
Ibiza,Amsterdam,"Ibiza, Hemonystraat 16, 1074 BP Amsterdam",https://www.coffeeshopmenus.org/cs-ibiza.html,1
Johnny,Amsterdam,"Johnny, Elandsgracht 3, 1016 TM Amsterdam",https://www.coffeeshopmenus.org/cs-johnny.html,1
Jollygood,Amsterdam,"Jollygood, 2e Laurierdwarsstraat 44, Amsterdam 1016 RB",https://www.coffeeshopmenus.org/cs-jollygood.html,1
Jolly Joker,Amsterdam,"Jolly Joker, Nieuwmarkt 4a, 1012 BC Amsterdam",https://www.coffeeshopmenus.org/cs-jolly-joker.html,1
De Kade,Amsterdam,"De Kade, Stadionkade 107, 1076 BN Amsterdam",https://www.coffeeshopmenus.org/cs-kade.html,1
Kadinsky,Amsterdam,"Kadinsky, Rosmarijnsteeg 9, Amsterdam 1012 RP",https://www.coffeeshopmenus.org/cs-kadinsky.html,1
Kadinsky 2,Amsterdam,"Kadinsky 2, Zoutsteeg 14, Amsterdam 1012 LX",https://www.coffeeshopmenus.org/cs-kadinsky2.html,1
Kadinsky 3,Amsterdam,"Kadinsky 3, Langebrugsteeg 7a, Amsterdam 1012 GB",https://www.coffeeshopmenus.org/cs-kadinsky3.html,1
Kashmir Coffeeshop,Amsterdam,"Kashmir Coffeeshop, Jan Pieter Heijestraat 82, Amsterdam 1053 GS",https://www.coffeeshopmenus.org/cs-kashmir-coffeeshop.html,1
de Keeper,Amsterdam,"de Keeper, Van Woustraat 193, 1074 AN Amsterdam",https://www.coffeeshopmenus.org/cs-keeper.html,1
't Keteltje,Amsterdam,"'t Keteltje, Marnixstraat 74, 1015 VX Amsterdam",https://www.coffeeshopmenus.org/cs-keteltje.html,1
de Kroon,Amsterdam,"de Kroon, Oudebrugsteeg 26, 1012 JP Amsterdam",https://www.coffeeshopmenus.org/cs-kroon.html,1
Loft,Amsterdam,"Loft, Jan van Galenstraat 285, 1056 CA Amsterdam",https://www.coffeeshopmenus.org/cs-loft.html,1
El Marssa,Amsterdam,"El Marssa, Witte de Withstraat 106, 1057 ZG Amsterdam",https://www.coffeeshopmenus.org/cs-marssa.html,1
Massawa,Amsterdam,"Massawa, Chassestraat 4, 1057 JD, Amsterdam",https://www.coffeeshopmenus.org/cs-massawa.html,1
Club Media,Amsterdam,"Club Media, Gerard Doustraat 83-85, 1072 VN Amsterdam",https://www.coffeeshopmenus.org/cs-media.html,1
Mediterrane (Drewissharing),Amsterdam,"Mediterrane (Drewissharing), Spuistraat 80, Amsterdam 1012 TX",https://www.coffeeshopmenus.org/cs-mediterrane.html,1
Millennium,Amsterdam,"Millennium, Jan Hanzenstraat 109, 1053 SN, Amsterdam",https://www.coffeeshopmenus.org/cs-millennium.html,1
Nachtegaal,Amsterdam,"Nachtegaal, Krugerplein 22, 1091 KZ Amsterdam",https://www.coffeeshopmenus.org/cs-nachtegaal.html,1
New Amsterdam,Amsterdam,"New Amsterdam, Hoofdweg 226, 1057 DG, Amsterdam",https://www.coffeeshopmenus.org/cs-new-amsterdam.html,1
New Times,Amsterdam,"New Times, Spuistraat 260, 1012 VW Amsterdam",https://www.coffeeshopmenus.org/cs-new-times.html,1
New Times 2,Amsterdam,"New Times 2, Amstelstraat 35, Amsterdam 1017 DA",https://www.coffeeshopmenus.org/cs-newtimes2.html,1
Nice Place,Amsterdam,"Nice Place, Van Ostadestraat 290, 1073 TW Amsterdam",https://www.coffeeshopmenus.org/cs-nice-place.html,1
Noord,Amsterdam,"Noord, Ooievaarsweg 10, 1021 GZ, Amsterdam",https://www.coffeeshopmenus.org/cs-noord.html,1
Old Church 2,Amsterdam,"Old Church 2, Amstel 8, 1017 AA Amsterdam",https://www.coffeeshopmenus.org/cs-old-church-2.html,1
Coffeeshop Oost,Amsterdam,"Coffeeshop Oost, 3e Oosterparkstraat 73, Amsterdam 1091 JV",https://www.coffeeshopmenus.org/cs-oost.html,1
The Otherside,Amsterdam,"The Otherside, Reguliersdwarsstraat 6, 1017 BM Amsterdam",https://www.coffeeshopmenus.org/cs-otherside.html,1
de Overkant Hortus,Amsterdam,"de Overkant Hortus, Nieuwe Herengracht 71, 1011 RR Amsterdam",https://www.coffeeshopmenus.org/cs-overkant-hortus.html,1
Pacific,Amsterdam,"Pacific, Balthasar Floriszstraat 10, Amsterdam 1071 VC",https://www.coffeeshopmenus.org/cs-pacific.html,1
Papillon,Amsterdam,"Papillon, Van Der Helstplein 8, 1072 PH Amsterdam",https://www.coffeeshopmenus.org/cs-papillon-ams.html,1
Paradox,Amsterdam,"Paradox, 1e Bloemdwarsstraat 2, 1016 KS Amsterdam",https://www.coffeeshopmenus.org/cs-paradox.html,1
The Plug Store,Amsterdam,"The Plug Store, Singel 14, Amsterdam 1013 GA",https://www.coffeeshopmenus.org/cs-plugstore.html,1
The Plug Utopia,Amsterdam,"The Plug Utopia, Nieuwezijds Voorburgwal 132, Amsterdam 1012 SH",https://www.coffeeshopmenus.org/cs-plug-utopia.html,1
The Plug West,Amsterdam,"The Plug West, Frederik Hendrikstraat 123, Amsterdam 1052 HP",https://www.coffeeshopmenus.org/cs-plug-west.html,1
Popeye,Amsterdam,"Popeye, Haarlemmerstraat 63, 1013 EK Amsterdam",https://www.coffeeshopmenus.org/cs-popeye.html,1
De Prijs,Amsterdam,"De Prijs, Surinamestraat 7, Amsterdam 1058 GJ",https://www.coffeeshopmenus.org/cs-prijs.html,1
Prix d'Ami,Amsterdam,"Prix d'Ami, Haringpakkerssteeg 3, Amsterdam 1012 LR",https://www.coffeeshopmenus.org/cs-prix-d-ami.html,1
ProGram,Amsterdam,"ProGram, Daniel Stalpertstraat 78, Amsterdam 1072 XK",https://www.coffeeshopmenus.org/cs-program.html,1
Reefer,Amsterdam,"Reefer, Sint Antoniesbreestraat 77, 1011 HB Amsterdam",https://www.coffeeshopmenus.org/cs-reefer.html,1
Relax,Amsterdam,"Relax, Binnen Oranjestraat 9, 1013 HZ Amsterdam",https://www.coffeeshopmenus.org/cs-relax-ams.html,1
Relax Zuid,Amsterdam,"Relax Zuid, Vechtstraat 9, Amsterdam 1078 RE",https://www.coffeeshopmenus.org/cs-relaxzuid.html,1
Republiek,Amsterdam,"Republiek, 2e Nassaustraat 1A, 1052 BJ, Amsterdam",https://www.coffeeshopmenus.org/cs-republiek.html,1
Resin,Amsterdam,"Resin, Hekelveld 7, 1012 SN Amsterdam",https://www.coffeeshopmenus.org/cs-resin.html,1
Ricks Coffeeshop,Amsterdam,"Ricks Coffeeshop, Oudezijds Voorburgwal 250, Amsterdam 1012 GK",https://www.coffeeshopmenus.org/cs-ricks-cafe.html,1
Risky Business,Amsterdam,"Risky Business, Bos en Lommerweg 163, 1055 DS Amsterdam",https://www.coffeeshopmenus.org/cs-risky-business.html,1
Rock-It,Amsterdam,"Rock-It, Nieuwmarkt 12, 1012 CR Amsterdam",https://www.coffeeshopmenus.org/cs-rock-it.html,1
Rockland,Amsterdam,"Rockland, Raadhuisstraat 8, Amsterdam 1016 DE",https://www.coffeeshopmenus.org/cs-rockland.html,1
Roots,Amsterdam,"Roots, Hoekenrode 14B, 1102 BR Amsterdam",https://www.coffeeshopmenus.org/cs-roots.html,1
Roxy,Amsterdam,"Roxy, Gerard Doustraat 188, 1073 XA Amsterdam",https://www.coffeeshopmenus.org/cs-roxy.html,1
Ruthless,Amsterdam,"Ruthless, Hoofdweg 174, 1057 DC Amsterdam",https://www.coffeeshopmenus.org/cs-ruthless.html,1
Saint,Amsterdam,"Saint, Regulierssteeg 2, Amsterdam 1017 CP",https://www.coffeeshopmenus.org/cs-saint.html,1
Sativa,Amsterdam,"Sativa, Spuistraat 118, 1012 VA, Amsterdam",https://www.coffeeshopmenus.org/cs-sativa.html,1
Sensemillia,Amsterdam,"Sensemillia, Gillis van Ledenberchstraat 135-HS, Amsterdam 1052 LE",https://www.coffeeshopmenus.org/cs-sensemillia1.html,1
Sensemillia 2,Amsterdam,"Sensemillia 2, Meer en Vaart 177/b, 1068 LA Amsterdam",https://www.coffeeshopmenus.org/cs-sensemillia-2.html,1
Siberie,Amsterdam,"Siberie, Brouwersgracht 11, 1015 GA Amsterdam",https://www.coffeeshopmenus.org/cs-siberie.html,1
Smokerdam,Amsterdam,"Smokerdam, Vechtstraat 63, 1079 JA Amsterdam",https://www.coffeeshopmenus.org/cs-smokerdam.html,1
Smokey,Amsterdam,"Smokey, Rembrandtplein 24, 1017 CV Amsterdam",https://www.coffeeshopmenus.org/cs-smokey-ams.html,1
Solo,Amsterdam,"Solo, Korte Koningsstraat 2, 1011 GA Amsterdam",https://www.coffeeshopmenus.org/cs-solo.html,1
Speakeasy 2,Amsterdam,"Speakeasy 2, 1e Oosterparkstraat 47, 1091 GV Amsterdam",https://www.coffeeshopmenus.org/cs-speak-easy-ams-2.html,1
Stones,Amsterdam,"Stones, Ruysdaelkade 145, Amsterdam 1072 AR",https://www.coffeeshopmenus.org/cs-stones.html,1
Stud,Amsterdam,"Stud, Molukkenstraat 581, Amsterdam 1095 BJ",https://www.coffeeshopmenus.org/cs-stud.html,1
de Supermarkt,Amsterdam,"de Supermarkt, Frederik Hendrikstraat 69, 1052 HL Amsterdam",https://www.coffeeshopmenus.org/cs-supermarkt.html,1
Superskunk,Amsterdam,"Superskunk, Prinsengracht 480, 1017 KG Amsterdam",https://www.coffeeshopmenus.org/cs-superskunk-2.html,1
Tatanka,Amsterdam,"Tatanka (Smartshop), Korte Leidsedwarsstraat 151a, Amsterdam 1017 PZ",https://www.coffeeshopmenus.org/cs-tatanka.html,1
Terminator,Amsterdam,"Terminator, Admiraal de Ruijterweg 104, Amsterdam 1056 GP",https://www.coffeeshopmenus.org/cs-terminator.html,1
Terps Army,Amsterdam,"Terps Army, Nieuwe Nieuwstraat 32, 1012 NH Amsterdam",https://www.coffeeshopmenus.org/cs-terps-army.html,1
Terps Army 2,Amsterdam,"Terps Army 2, Zieseniskade 22, Amsterdam 1017 RT",https://www.coffeeshopmenus.org/cs-terps-army-2.html,1
La Tertulia,Amsterdam,"La Tertulia, Prinsengracht 312, 1016 HX Amsterdam",https://www.coffeeshopmenus.org/cs-tertulia.html,1
Trefpunt,Amsterdam,"Trefpunt, Zeeburgerdijk 33, Amsterdam 1093 SL",https://www.coffeeshopmenus.org/cs-trefpunt-ams.html,1
Tweede Kamer,Amsterdam,"Tweede Kamer, Heisteeg 6, 1012 WC Amsterdam",https://www.coffeeshopmenus.org/cs-tweede-kamer.html,1
Tyson 2.0,Amsterdam,"Tyson 2.0, Spuistraat 222, 1012 VA Amsterdam",https://www.coffeeshopmenus.org/cs-tyson.html,1
Vondel,Amsterdam,"Vondel, Overtoom 451-hs, 1054 kh Amsterdam",https://www.coffeeshopmenus.org/cs-vondel.html,1
Voyagers,Amsterdam,"Voyagers, Geldersekade 2, Amsterdam",https://www.coffeeshopmenus.org/cs-voyagers.html,1
Warda 1&2,Amsterdam,"Warda 1&2, Van Woustraat 147, 1074 AJ Amsterdam",https://www.coffeeshopmenus.org/cs-warda-1.html,1
Juice Bar de Watersnip,Amsterdam,"Juice Bar de Watersnip, Lodewijk van Deysselstraat 37, Amsterdam 1064 HL",https://www.coffeeshopmenus.org/cs-watersnip.html,1
Yin Yang,Amsterdam,"Yin Yang, Knollendamstraat 5, Amsterdam 1013 TL",https://www.coffeeshopmenus.org/cs-yin-yang.html,1
Yo-Yo,Amsterdam,"Yo-Yo, 2e Jan van der Heijdenstraat 79, 1072 TZ Amsterdam",https://www.coffeeshopmenus.org/cs-yo-yo.html,1
Rokerij,Amsterdam,"Rokerij (Closed), Lange Leidsedwarsstraat 41, 1017 NG Amsterdam",https://www.coffeeshopmenus.org/cs-rokerij.html,1
Rookies,Amsterdam,"Rookies, Korte Leidsedwarsstraat 145-147, 1017 PZ Amsterdam",https://www.coffeeshopmenus.org/cs-rookies.html,1
Route 66,Amsterdam,"Route 66, Warmoesstraat 77, 1012 HX Amsterdam",https://www.coffeeshopmenus.org/cs-route-66.html,1
Rusland,Amsterdam,"Rusland, Rusland 16, 1012 CL Amsterdam",https://www.coffeeshopmenus.org/cs-rusland.html,1
Sanementereng,Amsterdam,"Sanementereng, 2e Laurierdwarsstraat 44, 1016 RB Amsterdam",https://www.coffeeshopmenus.org/cs-sanementereng.html,1
Sevilla,Amsterdam,"Sevilla, Utrechtsestraat 14, 1017 VN Amsterdam",https://www.coffeeshopmenus.org/cs-sevilla.html,1
Smoke Palace,Amsterdam,"Smoke Palace (Closed), Linnaeusstraat 83, Amsterdam 1093 EK",https://www.coffeeshopmenus.org/cs-smoke-palace.html,1
Softland,Amsterdam,"Softland, Spuistraat 222, 1012 VA Amsterdam",https://www.coffeeshopmenus.org/cs-softland.html,1
Speakeasy,Amsterdam,"Speakeasy (Closed), Oudebrugsteeg 4, 1012 JP Amsterdam",https://www.coffeeshopmenus.org/cs-speak-easy-ams.html,1
Stix,Amsterdam,"Stix, Utrechtsestraat 21, 1017 VH Amsterdam",https://www.coffeeshopmenus.org/cs-stix.html,1
Stones Corner,Amsterdam,"Stones Corner (Closed), Warmoesstraat 59, Amsterdam 1012 HW",https://www.coffeeshopmenus.org/cs-stones-corner.html,1
The Store,Amsterdam,"The Store, Singel 14, Amsterdam 1013 GA",https://www.coffeeshopmenus.org/cs-store.html,1
Superskunk 1,Amsterdam,"Superskunk 1, Daniel Stalpertstraat 78, Amsterdam 1072 XK",https://www.coffeeshopmenus.org/cs-superskunk1.html,1
SWED a Snoop Dogg Store,Amsterdam,"SWED a Snoop Dogg Store, Marnixstraat 333, Amsterdam 1016 TC",https://www.coffeeshopmenus.org/cs-swedasnoopdoggstore.html,1
