name,lat,lng,website,logo,visited,rating,Coffeeshop,Hotel,Bar,Food,Attraction,Shopping,McDonald's,Albert Heijn
Rick's,52.37171,4.89538,https://www.coffeeshopmenus.org/cs-ricks-cafe.html,ricks_coffeeshop.png,n,,y,n,n,n,n,n,n,n
Rock-It,52.37284,4.90001,https://www.coffeeshopmenus.org/cs-rock-it.html,ricks_coffeeshop.png,n,,y,n,n,n,n,n,n,n
Rockland,52.37338,4.8884,https://www.coffeeshopmenus.org/cs-rockland.html,rockland.png,n,,y,n,n,n,n,n,n,n
Rookies,52.36293,4.88523,https://www.coffeeshopmenus.org/cs-rookies.html,rookies.png,n,,y,n,n,n,n,n,n,n
Roxy,52.35647,4.89556,https://www.coffeeshopmenus.org/cs-roxy.html,rookies.png,n,,y,n,n,n,n,n,n,n
Ruthless,52.36548,4.85328,https://www.coffeeshopmenus.org/cs-ruthless.html,ruthless.png,n,,y,n,n,n,n,n,n,n
Saint,52.36687,4.89499,https://www.coffeeshopmenus.org/cs-saint.html,saint.png,y,3,y,n,n,n,n,n,n,n
Satvia,52.37453,4.89044,https://www.coffeeshopmenus.org/cs-sativa.html,sativa.png,y,3,y,n,n,n,n,n,n,n
Sensemillia,52.3751,4.8712,https://www.coffeeshopmenus.org/cs-sensemillia1.html,sensemillia.png,n,,y,n,n,n,n,n,n,n
Siberie,52.37896,4.89301,https://www.coffeeshopmenus.org/cs-siberie.html,siberie.png,n,,y,n,n,n,n,n,n,n
Smokey,52.36576,4.89636,https://www.coffeeshopmenus.org/cs-smokey-ams.html,smokey.png,n,,y,n,n,n,n,n,n,n
Solo,52.37193,4.90263,https://www.coffeeshopmenus.org/cs-solo.html,solo.png,n,,y,n,n,n,n,n,n,n
Speakeasy,52.35589,4.90881,https://www.coffeeshopmenus.org/cs-speak-easy-ams-2.html,speak_easy.png,n,,y,n,n,n,n,n,n,n
Spirit,52.37822,4.88293,https://www.coffeeshopmenus.org/cs-spirit.html,spirit.png,n,,y,n,n,n,n,n,n,n
Stones,52.35369,4.8871,https://www.coffeeshopmenus.org/cs-stones.html,stones.png,n,,y,n,n,n,n,n,n,n
Strain Hunters,52.36878,4.88818,https://www.coffeeshopmenus.org/cs-greenhouse-strain-hunters.html,greenhouse_strain_hunters.png,n,,y,n,n,n,n,n,n,n
Super Skunk,52.36429,4.8852,https://www.coffeeshopmenus.org/cs-superskunk-2.html,superskunk.png,y,2,y,n,n,n,n,n,n,n
SuperFly,52.35122,4.90356,https://www.coffeeshopmenus.org/cs-super-fly.html,superfly.png,n,,y,n,n,n,n,n,n,n
t Keteltje,52.37959,4.87973,https://www.coffeeshopmenus.org/cs-keteltje.html,t_keteltje.png,n,,y,n,n,n,n,n,n,n
Terps Army,52.37534,4.89358,https://www.coffeeshopmenus.org/cs-terps-army.html,terps_army.png,n,,y,n,n,n,n,n,n,n
Terps Army 2,52.3618,4.88626,https://www.coffeeshopmenus.org/cs-terps-army-2.html,terps_army_2.png,y,5,y,n,n,n,n,n,n,n
Tha Dogg House,52.37277,4.87605,https://www.coffeeshopmenus.org/cs-dogghouse.html,tha_dogg_house.png,n,,y,n,n,n,n,n,n,n
The Bushdoctor,52.36507,4.89569,https://www.coffeeshopmenus.org/cs-bushdocter.html,bushdocter.png,n,,y,n,n,n,n,n,n,n
The Corner Coffeeshop,52.39186,4.87782,https://www.coffeeshopmenus.org/cs-corner.html,the_corner.png,n,,y,n,n,n,n,n,n,n
The Hit,52.37008,4.89633,https://www.coffeeshopmenus.org/cs-hit2.html,the_hit.png,y,5,y,n,n,n,n,n,n,n
The Old Church,52.36704,4.89417,https://www.coffeeshopmenus.org/cs-old-church-2.html,old_church_2.png,y,4,y,n,n,n,n,n,n,n
The Otherside,52.36684,4.88931,https://www.coffeeshopmenus.org/cs-otherside.html,the_otherside.png,y,1,y,n,n,n,n,n,n,n
The Plug Store,52.37902,4.89386,https://www.coffeeshopmenus.org/cs-plugstore.html,Plug.png,n,,y,n,n,n,n,n,n,n
The Plug Utopia,52.37508,4.89169,https://www.coffeeshopmenus.org/cs-plug-utopia.html,Plug.png,n,,y,n,n,n,n,n,n,n
The Plug West,52.37401,4.87251,https://www.coffeeshopmenus.org/cs-plug-west.html,Plug.png,n,,y,n,n,n,n,n,n,n
The Stud,52.35873,4.94089,https://www.coffeeshopmenus.org/cs-stud.html,stud.png,y,5,y,n,n,n,n,n,n,n
Trefpunt,52.36607,4.92987,https://www.coffeeshopmenus.org/cs-trefpunt-ams.html,trefpunt.png,n,,y,n,n,n,n,n,n,n
Tweede Kamer,52.36883,4.88841,https://www.coffeeshopmenus.org/cs-tweede-kamer.html,tweede_kamer.png,n,,y,n,n,n,n,n,n,n
Tyson 2.0,52.37149,4.88936,https://www.coffeeshopmenus.org/cs-tyson.html,tyson_2_0.png,n,,y,n,n,n,n,n,n,n
Vondel,52.35874,4.85934,https://www.coffeeshopmenus.org/cs-vondel.html,vondel.png,y,4,y,n,n,n,n,n,n,n
Voyagers,52.37646,4.9021,https://www.coffeeshopmenus.org/cs-voyagers.html,voyagers.png,n,,y,n,n,n,n,n,n,n
Warda 1&2,52.35289,4.90289,https://www.coffeeshopmenus.org/cs-warda-1.html,warda_1_and_2.png,n,,y,n,n,n,n,n,n,n
Yo-yo,52.35633,4.90309,https://www.coffeeshopmenus.org/cs-yo-yo.html,yo_yo.png,n,,y,n,n,n,n,n,n,n
Bilderberg,52.3513,4.87353,https://www.bilderberg.nl/en/amsterdam/garden-hotel/,,n,,n,y,n,n,n,n,n,n
Davide's Air BnB,52.36808,4.89077,https://www.airbnb.co.uk/rooms/20101951?source_impression_id=p3_1763296336_P3TbbltLHBoImfF2,,n,,n,y,n,n,n,n,n,n
Hotel City Garden,52.3591,4.87638,https://hotelcitygardenamsterdam.com/,,n,,n,y,n,n,n,n,n,n
Hotel La Belle Vue,52.37344,4.88647,http://www.hotel-labellevue.com,,n,,n,y,n,n,n,n,n,n
Barney's Farm,52.38064035,4.891070159,https://www.barneysfarm.co.uk,,n,,n,n,y,n,n,n,n,n
Barney's Uptown,52.38069214,4.890627087,https://www.barneysamsterdam.com,,n,,n,n,y,n,n,n,n,n
Big Shots Bar,52.3745611,4.89697109,https://www.bigshotsamsterdam.com,,n,,n,n,y,n,n,n,n,n
Big Shots Plug,52.37497679,4.892036453,https://www.bigshotsamsterdam.com,,n,,n,n,y,n,n,n,n,n
Café Bar Amsterdam,52.37827741,4.895409716,https://cafebaramsterdam.nl,,n,,n,n,y,n,n,n,n,n
Café Belgique,52.37428027,4.893082809,https://www.cafebelgique.nl,,n,,n,n,y,n,n,n,n,n
Café Havelaar,52.36794583,4.890868023,http://www.cafehavelaar.com,,n,,n,n,y,n,n,n,n,n
Coffeeshopamsterdam Café,52.37913164,4.894014815,https://coffeeshopamsterdamcafe.com,,n,,n,n,y,n,n,n,n,n
